Workout Date;Set;Weight (kg);Rep;MV (m/s)
09/07/2021;5;150;8;1.04
09/07/2021;5;150;8;0.49
09/07/2021;5;150;9;0.96
09/07/2021;5;150;9;0.41
09/07/2021;5;150;10;1.13
09/07/2021;5;150;10;0.42
09/07/2021;5;150;11;1
09/07/2021;5;150;11;0.46
09/07/2021;5;150;12;0.95
09/07/2021;5;150;12;0.46
09/07/2021;5;150;13;0.97
09/07/2021;5;150;13;0.38
09/07/2021;5;150;14;1.12
09/07/2021;5;150;14;0.35
09/07/2021;5;150;15;0.9
09/07/2021;5;150;15;0.33
09/07/2021;5;150;16;0.84
09/07/2021;5;150;16;0.34
09/07/2021;5;150;17;0.97
09/07/2021;6;150;1;0.49
09/07/2021;6;150;2;0.94
09/07/2021;6;150;2;0.54
09/07/2021;6;150;3;0.98
09/07/2021;6;150;3;0.49
09/07/2021;6;150;4;0.97
09/07/2021;6;150;4;0.54
09/07/2021;6;150;5;0.91
09/07/2021;6;150;5;0.5
09/07/2021;6;150;6;0.96
09/07/2021;6;150;6;0.47
09/07/2021;6;150;7;0.92
09/07/2021;6;150;7;0.44
09/07/2021;6;150;8;1.04
09/07/2021;6;150;8;0.43
09/07/2021;6;150;9;1.05
09/07/2021;6;150;9;0.4
09/07/2021;6;150;10;1.07
09/07/2021;6;150;10;0.37
09/07/2021;6;150;11;0.75
09/07/2021;6;150;11;0.43
09/07/2021;6;150;12;0.95
09/07/2021;6;150;12;0.34
09/07/2021;6;150;13;0.9
09/07/2021;6;150;13;0.35
09/07/2021;6;150;14;0.9
09/07/2021;6;150;14;0.31
09/07/2021;6;150;15;0.9
09/07/2021;6;150;15;0.29
09/07/2021;6;150;16;0.88
09/07/2021;6;150;16;0.29
09/07/2021;6;150;17;0.85
30/06/2021;1;120;1;0.71
30/06/2021;1;120;2;1.01
30/06/2021;1;120;2;0.74
30/06/2021;1;120;3;1.26
30/06/2021;1;120;3;0.76
30/06/2021;1;120;4;1.34
30/06/2021;2;120;1;0.73
30/06/2021;2;120;2;1.2
30/06/2021;2;120;2;0.75
30/06/2021;2;120;3;1.28
30/06/2021;3;150;1;0.54
30/06/2021;3;150;2;1.33
30/06/2021;3;150;2;0.59
30/06/2021;3;150;3;1.35
30/06/2021;4;170;1;0.49
30/06/2021;4;170;2;1.37
30/06/2021;5;170;1;0.53
30/06/2021;5;170;2;0.98
30/06/2021;6;210;1;0.31
30/06/2021;6;210;2;0.88
23/06/2021;1;100;1;0.69
23/06/2021;1;100;2;0.71
23/06/2021;1;100;2;0.84
23/06/2021;1;100;3;0.69
23/06/2021;1;100;3;0.83
23/06/2021;1;100;4;1.02
23/06/2021;2;120;1;0.71
23/06/2021;2;120;2;0.78
23/06/2021;3;150;1;0.57
23/06/2021;3;150;2;0.88
23/06/2021;3;150;2;0.6
23/06/2021;3;150;3;1.1
23/06/2021;4;170;1;0.5
23/06/2021;4;170;2;1.12
23/06/2021;4;170;2;0.52
23/06/2021;4;170;3;1.1
23/06/2021;4;170;3;0.55
23/06/2021;4;170;4;1.17
23/06/2021;5;200;1;0.36
23/06/2021;5;200;2;1.19
23/06/2021;6;150;1;0.5
23/06/2021;6;150;2;1.02
23/06/2021;6;150;2;0.52
23/06/2021;6;150;3;1.04
23/06/2021;6;150;3;0.56
23/06/2021;6;150;4;0.93
23/06/2021;6;150;4;0.57
23/06/2021;6;150;5;0.9
23/06/2021;6;150;5;0.55
23/06/2021;6;150;6;0.91
23/06/2021;6;150;6;0.53
23/06/2021;6;150;7;0.95
